FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
upa.fid-26cf0271_15535a94121_3c4a,11751,Igarapé-Miri - PA - Igarapé-Miri - PA - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PA,IGARAPÉ-MIRI,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.96 -1.975)),0
upa.fid-26cf0271_15535a94121_3c4b,11752,Monte Alegre - PA - Monte Alegre - PA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PA,MONTE ALEGRE,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-54.069 -2.008)),0
upa.fid-26cf0271_15535a94121_3c4c,11753,Novo Repartimento - PA - Novo Repartimento - PA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PA,NOVO REPARTIMENTO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-49.796 -4.331)),0
upa.fid-26cf0271_15535a94121_3c4d,11754,Oriximiná - PA - Oriximiná - PA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PA,ORIXIMINÁ,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-55.866 -1.766)),0
upa.fid-26cf0271_15535a94121_3c4e,11755,São Félix do Xingu - PA - São Félix do Xingu - PA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PA,SÃO FÉLIX DO XINGU,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-51.995 -6.645)),0
upa.fid-26cf0271_15535a94121_3c4f,11756,Tailândia - PA - Tailândia - PA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PA,TAILÂNDIA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.953 -2.947)),0
upa.fid-26cf0271_15535a94121_3c50,11758,Bayeux - PB - Bayeux - PB - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PB,BAYEUX,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-34.932 -7.125)),0
upa.fid-26cf0271_15535a94121_3c51,11759,Patos - PB - Patos - PB - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PB,PATOS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-37.28 -7.024)),0
upa.fid-26cf0271_15535a94121_3c52,11760,Olinda - PE - Olinda - PE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PE,OLINDA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-34.855 -8.009)),0
upa.fid-26cf0271_15535a94121_3c53,11764,Campo Mourão - PR - Campo Mourão - PR - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PR,CAMPO MOURÃO,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-52.383 -24.046)),0
upa.fid-26cf0271_15535a94121_3c54,11765,Curitiba - PR - Curitiba - PR - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PR,CURITIBA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-49.273 -25.428)),0
upa.fid-26cf0271_15535a94121_3c55,11769,Paranaguá - PR - Paranaguá - PR - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PR,PARANAGUÁ,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-48.509 -25.52)),0
upa.fid-26cf0271_15535a94121_3c56,11770,Paranavaí - PR - Paranavaí - PR - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PR,PARANAVAÍ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-52.465 -23.073)),0
upa.fid-26cf0271_15535a94121_3c57,11773,Telêmaco Borba - PR - Telêmaco Borba - PR - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PR,TELÊMACO BORBA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-50.616 -24.324)),0
upa.fid-26cf0271_15535a94121_3c58,11781,Ariquemes - RO - Ariquemes - RO - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RO,ARIQUEMES,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-63.041 -9.913)),0
upa.fid-26cf0271_15535a94121_3c59,11782,Cacoal - RO - Cacoal - RO - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RO,CACOAL,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-61.448 -11.438)),0
upa.fid-26cf0271_15535a94121_3c5a,11783,Rolim de Moura - RO - Rolim de Moura - RO - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RO,ROLIM DE MOURA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-61.778 -11.733)),0
upa.fid-26cf0271_15535a94121_3c5b,11784,Camaquã - RS - Camaquã - RS - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RS,CAMAQUÃ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-51.812 -30.851)),0
upa.fid-26cf0271_15535a94121_3c5c,11788,Gravataí - RS - Gravataí - RS - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RS,GRAVATAÍ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-50.992 -29.944)),0
upa.fid-26cf0271_15535a94121_3c5d,11789,Guaíba - RS - Guaíba - RS - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RS,GUAÍBA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-51.325 -30.114)),0
upa.fid-26cf0271_15535a94121_3c5e,11790,Novo Hamburgo - RS - Novo Hamburgo - RS - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RS,NOVO HAMBURGO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-51.131 -29.678)),0
upa.fid-26cf0271_15535a94121_3c5f,11791,Pelotas - RS - Pelotas - RS - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RS,PELOTAS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-52.343 -31.772)),0
upa.fid-26cf0271_15535a94121_3c60,11794,Rio Grande - RS - Rio Grande - RS - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RS,RIO GRANDE,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-52.099 -32.035)),0
upa.fid-26cf0271_15535a94121_3c61,11795,São Leopoldo - RS - São Leopoldo - RS - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RS,SÃO LEOPOLDO,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-51.147 -29.76)),0
upa.fid-26cf0271_15535a94121_3c62,11796,Brusque - SC - Brusque - SC - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SC,BRUSQUE,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.918 -27.098)),0
upa.fid-26cf0271_15535a94121_3c63,11797,Caçador - SC - Caçador - SC - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SC,CAÇADOR,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-51.015 -26.775)),0
upa.fid-26cf0271_15535a94121_3c64,11800,Navegantes - SC - Navegantes - SC - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SC,NAVEGANTES,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-48.654 -26.899)),0
upa.fid-26cf0271_15535a94121_3c65,11801,Nossa Senhora do Socorro - SE - Nossa Senhora do Socorro - SE - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SE,NOSSA SENHORA DO SOCORRO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-37.126 -10.855)),0
upa.fid-26cf0271_15535a94121_3c66,11802,Americana - SP - Americana - SP - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,AMERICANA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-47.331 -22.739)),0
upa.fid-26cf0271_15535a94121_3c67,11803,Araçatuba - SP - Araçatuba - SP - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,ARAÇATUBA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-50.433 -21.209)),0
upa.fid-26cf0271_15535a94121_3c68,11805,Diadema - SP - Diadema - SP - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,DIADEMA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-46.623 -23.686)),0
upa.fid-26cf0271_15535a94121_3c69,11806,Embu-Guaçu - SP - Embu-Guaçu - SP - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,EMBU-GUAÇU,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-46.811 -23.832)),0
upa.fid-26cf0271_15535a94121_3c6a,11808,Franca - SP - Franca - SP - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,FRANCA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-47.401 -20.539)),0
upa.fid-26cf0271_15535a94121_3c6b,11809,Jandira - SP - Jandira - SP - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,JANDIRA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-46.903 -23.528)),0
upa.fid-26cf0271_15535a94121_3c6c,11810,Lins - SP - Lins - SP - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,LINS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-49.743 -21.679)),0
upa.fid-26cf0271_15535a94121_3c6d,11811,Mococa - SP - Mococa - SP - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,MOCOCA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-47.005 -21.468)),0
upa.fid-26cf0271_15535a94121_3c6e,11812,Osasco - SP - Osasco - SP - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,OSASCO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-46.792 -23.533)),0
upa.fid-26cf0271_15535a94121_3c6f,11813,Sorocaba - SP - Sorocaba - SP - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,SOROCABA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-47.458 -23.502)),0
upa.fid-26cf0271_15535a94121_3c70,11814,Tatuí - SP - Tatuí - SP - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,TATUÍ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-47.857 -23.356)),0
upa.fid-26cf0271_15535a94121_3c71,11815,Várzea Paulista - SP - Várzea Paulista - SP - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,VÁRZEA PAULISTA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-46.828 -23.211)),0
upa.fid-26cf0271_15535a94121_3c72,11817,Americana - SP - Americana - SP - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,AMERICANA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-47.331 -22.739)),0
upa.fid-26cf0271_15535a94121_3c73,11822,Cascavel - PR - Cascavel - PR - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PR,CASCAVEL,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-53.455 -24.956)),0
upa.fid-26cf0271_15535a94121_3c74,11824,João Pessoa - PB - João Pessoa - PB - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,PB,JOÃO PESSOA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-34.863 -7.115)),0
upa.fid-26cf0271_15535a94121_3c75,30635,Ji-Paraná - RO - Ji-Paraná - RO - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RO,JI-PARANÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2015,MULTIPOINT ((-61.944 -10.882)),0
upa.fid-26cf0271_15535a94121_3c76,30636,Farroupilha - RS - Farroupilha - RS - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,RS,FARROUPILHA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-51.348 -29.225)),0
upa.fid-26cf0271_15535a94121_3c77,35654,Jacareí - SP - Jacareí - SP - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,JACAREÍ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-45.9662609633522 -23.2987802191783)),0
upa.fid-26cf0271_15535a94121_3c78,35654,Jacareí - SP - Jacareí - SP - UPA III,Comunidade Cidadã,UPA,Ministério da Saúde,Município,SP,JACAREÍ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-45.9662609633522 -23.2987802191783)),0
upa.fid-26cf0271_15535a94121_3c79,38643,Porto Seguro - BA - Porto Seguro - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,PORTO SEGURO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-39.0646202179057 -16.443941348711597)),0
upa.fid-26cf0271_15535a94121_3c7a,38643,Porto Seguro - BA - Porto Seguro - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,PORTO SEGURO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-39.0646202179057 -16.443941348711597)),0
upa.fid-26cf0271_15535a94121_3c7b,38669,Grajaú - MA - Grajaú - MA - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MA,GRAJAÚ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-46.14664724988529 -5.814058057486061)),0
upa.fid-26cf0271_15535a94121_3c7c,38669,Grajaú - MA - Grajaú - MA - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MA,GRAJAÚ,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-46.14664724988529 -5.814058057486061)),0
upa.fid-26cf0271_15535a94121_3c7d,38670,Paço do Lumiar - MA - Paço do Lumiar - MA - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MA,PAÇO DO LUMIAR,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-44.1022824013117 -2.51693811495653)),0
upa.fid-26cf0271_15535a94121_3c7e,38670,Paço do Lumiar - MA - Paço do Lumiar - MA - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MA,PAÇO DO LUMIAR,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-44.1022824013117 -2.51693811495653)),0
upa.fid-26cf0271_15535a94121_3c7f,38671,Pinheiro - MA - Pinheiro - MA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MA,PINHEIRO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-45.0792291740782 -2.52260885593166)),0
upa.fid-26cf0271_15535a94121_3c80,38671,Pinheiro - MA - Pinheiro - MA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,MA,PINHEIRO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-45.0792291740782 -2.52260885593166)),0
upa.fid-26cf0271_15535a94121_3c81,38641,Juazeiro - BA - Juazeiro - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,JUAZEIRO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-40.5036224201506 -9.416635646244389)),0
upa.fid-26cf0271_15535a94121_3c82,38641,Juazeiro - BA - Juazeiro - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,JUAZEIRO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-40.5036224201506 -9.416635646244389)),0
upa.fid-26cf0271_15535a94121_3c83,38642,Paulo Afonso - BA - Paulo Afonso - BA - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,PAULO AFONSO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.2219116305214 -9.39871685250098)),0
upa.fid-26cf0271_15535a94121_3c84,38642,Paulo Afonso - BA - Paulo Afonso - BA - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,PAULO AFONSO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.2219116305214 -9.39871685250098)),0
upa.fid-26cf0271_15535a94121_3c85,38631,Arapiraca - AL - Arapiraca - AL - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,AL,ARAPIRACA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2015,MULTIPOINT ((-36.6618091422466 -9.75529107110955)),0
upa.fid-26cf0271_15535a94121_3c86,38631,Arapiraca - AL - Arapiraca - AL - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,AL,ARAPIRACA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2015,MULTIPOINT ((-36.6618091422466 -9.75529107110955)),0
upa.fid-26cf0271_15535a94121_3c87,38632,São Miguel dos Campos - AL - São Miguel dos Campos - AL - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Estado,AL,SÃO MIGUEL DOS CAMPOS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-36.09747509609959 -9.78343584040173)),0
upa.fid-26cf0271_15535a94121_3c88,38632,São Miguel dos Campos - AL - São Miguel dos Campos - AL - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Estado,AL,SÃO MIGUEL DOS CAMPOS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-36.09747509609959 -9.78343584040173)),0
upa.fid-26cf0271_15535a94121_3c89,38633,Alagoinhas - BA - Alagoinhas - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,ALAGOINHAS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.421128581370496 -12.133966412775399)),0
upa.fid-26cf0271_15535a94121_3c8a,38633,Alagoinhas - BA - Alagoinhas - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,ALAGOINHAS,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.421128581370496 -12.133966412775399)),0
upa.fid-26cf0271_15535a94121_3c8b,38634,Camaçari - BA - Camaçari - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,CAMAÇARI,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.32662151451569 -12.7000825040421)),0
upa.fid-26cf0271_15535a94121_3c8c,38634,Camaçari - BA - Camaçari - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,CAMAÇARI,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-38.32662151451569 -12.7000825040421)),0
upa.fid-26cf0271_15535a94121_3c8d,38635,Campo Formoso - BA - Campo Formoso - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,CAMPO FORMOSO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-40.3204020888053 -10.5109766368242)),0
upa.fid-26cf0271_15535a94121_3c8e,38635,Campo Formoso - BA - Campo Formoso - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,CAMPO FORMOSO,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-40.3204020888053 -10.5109766368242)),0
upa.fid-26cf0271_15535a94121_3c8f,38636,Casa Nova - BA - Casa Nova - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,CASA NOVA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-40.9743521584698 -9.164499347451759)),0
upa.fid-26cf0271_15535a94121_3c90,38636,Casa Nova - BA - Casa Nova - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,CASA NOVA,--,,Em obras,30 de Junho de 2015,MULTIPOINT ((-40.9743521584698 -9.164499347451759)),0
upa.fid-26cf0271_15535a94121_3c91,38637,Ipirá - BA - Ipirá - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,IPIRÁ,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-39.7363091532095 -12.1564958479601)),0
upa.fid-26cf0271_15535a94121_3c92,38637,Ipirá - BA - Ipirá - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,IPIRÁ,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-39.7363091532095 -12.1564958479601)),0
upa.fid-26cf0271_15535a94121_3c93,38638,Itabuna - BA - Itabuna - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,ITABUNA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-39.2784241604312 -14.788030262048599)),0
upa.fid-26cf0271_15535a94121_3c94,38638,Itabuna - BA - Itabuna - BA - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,BA,ITABUNA,--,,Concluído,30 de Junho de 2015,MULTIPOINT ((-39.2784241604312 -14.788030262048599)),0
